temperature_2m_max,temperature_2m_min,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,locations_value,year
33.23500061,21.08499908,6.699999332,9.504272461,30.23999786,Bengaluru,2010
33.5850029,21.18499947,0.200000003,9.511088371,27.3599987,Bengaluru,2010
31.28499985,20.9849987,4.400000572,11.87454414,29.51999855,Bengaluru,2010
33.13500214,20.83499908,0,11.5928936,28.79999924,Bengaluru,2010
32.5850029,21.43499947,4.400000095,7.70433569,28.44000053,Bengaluru,2010
33.0850029,21.58499908,2.5,10.00903606,27.71999931,Bengaluru,2010
33.23500061,21.4849987,1.299999952,8.217152596,28.79999924,Bengaluru,2010
33.63500214,21.7349987,0,10.9489727,23.03999901,Bengaluru,2010
31.43499947,21.53499985,6.600000382,14.33686066,29.15999985,Bengaluru,2010
31.18499947,21.4849987,0.5,14.75999928,34.20000076,Bengaluru,2010
31.93499947,21.33499908,4.699999809,6.151682854,26.28000069,Bengaluru,2010
31.83499908,21.03499985,0.300000012,9.904906273,24.47999954,Bengaluru,2010
31.78499985,21.7349987,0.400000006,11.01976395,28.44000053,Bengaluru,2010
31.53499985,21.43499947,1.200000048,10.63676643,23.75999832,Bengaluru,2010
33.68500137,21.7349987,0,9.931041718,28.07999992,Bengaluru,2010
32.38500214,22.7349987,1.100000024,7.92817688,30.59999847,Bengaluru,2010
32.98500061,21.43499947,32.70000076,12.10157013,30.23999786,Bengaluru,2010
31.93499947,21.18499947,0.200000003,6.924738407,29.15999985,Bengaluru,2010
32.43500137,21.7349987,0.200000003,7.928177834,23.39999962,Bengaluru,2010
32.88500214,22.2349987,0,8.427383423,27,Bengaluru,2010
32.63500214,22.38500023,0,11.26978207,26.28000069,Bengaluru,2010
32.13500214,22.83499908,0.5,13.70839119,28.44000053,Bengaluru,2010
32.0850029,22.18499947,4.300000191,10.63676643,26.28000069,Bengaluru,2010
32.88500214,21.93499947,3.600000143,9.255571365,29.87999916,Bengaluru,2010
32.28499985,21.7349987,12.89999962,10.89557648,27.3599987,Bengaluru,2010
32.03499985,21.68499947,7.400000572,14.9041729,34.56000137,Bengaluru,2010
31.83499908,21.43499947,24.30000114,20.59250259,34.20000076,Bengaluru,2010
26.08499908,20.93499947,15.39999962,19.44333267,39.59999847,Bengaluru,2010
26.28499985,21.18499947,6.300000191,29.26868629,58.67999649,Bengaluru,2010
27.63500023,20.43499947,2.900000095,20.92959595,40.68000031,Bengaluru,2010
30.63500023,20.13500023,0.200000003,18.05750847,38.15999985,Bengaluru,2010
29.68499947,20.7349987,4.300000191,15.77851582,35.27999878,Bengaluru,2010
31.38500023,21.43499947,3.400000095,18.21471787,39.95999908,Bengaluru,2010
31.43499947,21.03499985,0,21.34954643,43.91999817,Bengaluru,2010
31.08499908,21.08499908,0.200000003,21.31613541,43.19999695,Bengaluru,2010
31.63500023,20.68499947,0,19.48660851,41.39999771,Bengaluru,2010
31.83499908,20.83499908,0,17.05731392,35.27999878,Bengaluru,2010
31.63500023,21.13500023,0,14.65867615,32.76000214,Bengaluru,2010
30.63500023,21.2349987,5.799999714,16.3948288,35.27999878,Bengaluru,2010
29.78499985,20.88500023,3.599999905,20.92959595,38.88000107,Bengaluru,2010
31.63500023,20.58499908,1.700000048,14.14575577,30.23999786,Bengaluru,2010
31.53499985,21.58499908,9.699999809,19.09358025,34.91999817,Bengaluru,2010
30.83499908,21.68499947,10.60000038,15.79083252,37.07999802,Bengaluru,2010
30.68499947,21.83499908,11.60000038,15.19268227,28.79999924,Bengaluru,2010
28.9849987,21.08499908,2.400000095,17.58112526,40.31999969,Bengaluru,2010
29.68499947,20.83499908,0.400000006,21.62997818,45.71999741,Bengaluru,2010
28.13500023,20.53499985,12.30000114,19.29613304,42.83999634,Bengaluru,2010
